accession	scaffold_count	gc_count	longest_scaffold	gc_percentage	total_gap_length	genome_size	n50_contigs	n50_scaffolds	l50_scaffolds	contig_count	ambiguous_bases	longest_contig	l50_contigs	mean_scaffold_length	mean_contig_length	trna_aa_count	trna_selenocysteine_count	trna_count	checkm_completeness	checkm_contamination	protein_count	coding_bases	coding_density	ssu_count	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	lsu_5s_count	ncbi_taxonomy	gtdb_genome_representative	gtdb_representative	ncbi_taxonomy_unfiltered	ncbi_type_material	ncbi_biosample	ncbi_total_gap_length	ncbi_molecule_count	ncbi_date	ncbi_submitter	ncbi_ncrna_count	ncbi_scaffold_n50	ncbi_assembly_name	ncbi_scaffold_n75	ncbi_protein_count	ncbi_assembly_type	ncbi_rrna_count	ncbi_genbank_assembly_accession	ncbi_total_length	ncbi_unspanned_gaps	ncbi_taxid	ncbi_trna_count	ncbi_genome_representation	ncbi_spanned_gaps	ncbi_translation_table	ncbi_scaffold_n90	ncbi_contig_count	ncbi_organism_name	ncbi_contig_n50	ncbi_ungapped_length	ncbi_scaffold_l50	ncbi_ssu_count	ncbi_scaffold_count	ncbi_assembly_level	ncbi_refseq_category	ncbi_species_taxid	ncbi_isolate	ncbi_wgs_master	ncbi_bioproject	ncbi_seq_rel_date	ncbi_isolation_source	ncbi_country	ncbi_lat_lon	ncbi_strain_identifiers	ssu_gg_taxonomy	ssu_gg_blast_bitscore	ssu_gg_blast_subject_id	ssu_gg_blast_perc_identity	ssu_gg_blast_evalue	ssu_gg_blast_align_len	ssu_gg_query_id	ssu_gg_length	ssu_silva_blast_bitscore	ssu_silva_taxonomy	ssu_silva_blast_subject_id	ssu_silva_blast_align_len	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	lsu_5s_query_id	lsu_5s_length	lsu_5s_contig_len	gtdb_taxonomy	mimag_high_quality	gtdb_cluster_size	gtdb_clustered_genomes	gtdb_type_material
RS_GCF_000980105.1	260	1695780	92541	41.5724260609	106	4079204	26897	26897	51	265	0	92541	51	15689	15392	19	0	47	100	0.65	3567	3083317	75.5862418256	1	228	p__Euryarchaeota (UID49)	153	0	1	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	RS_GCF_000970205.1	f	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	f	SAMN02708972	105	0	2015-4-23	University of Illinois at Urbana-Champaign	0	none	gtlEnvA5udCFS	none	3517	n/a	3	GCA_000980105.1	4079204	0	2209	46	full	5	11	none	265	Methanosarcina mazei	26897	4079099	none	1	none	Scaffold	na	2209	none	JJQX00000000.1	PRJNA224116	2015/04/23	sediment	USA: Columbia River Estuary; north of Astoria; OR	46.17467 N 123.8493 W	1.H.M.2.4	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__mazei	2710	439	99.864	0	1473	NZ_JJQX01000091.1	1474	2721	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei Go1	AE008384.235306.236779	1473	0	100	NZ_JJQX01000091.1	80	5356	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	t	none	none	f
RS_GCF_000337415.1	93	2264681	242361	68.0335475165	89	3328860	75543	75545	15	93	0	242355	15	35794	35793	20	0	49	99.68	0.76	3354	2844313	85.444055923	1	417	f__Halobacteriaceae (UID96)	263	50	1	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__Halorubrum tebenquichense	RS_GCF_000337415.1	t	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__Halorubrum tebenquichense;st__Halorubrum tebenquichense DSM 14210	t	SAMN02471631	0	0	2013-2-4	University of California, Davis	0	none	ASM33741v1	none	3242	n/a	3	GCA_000337415.1	3328860	0	1227485	49	full	0	11	none	93	Halorubrum tebenquichense DSM 14210	75545	3328860	none	1	none	Contig	representative genome	119434	none	AOJD00000000.1	PRJNA224116	2013/02/04	none	none	none	DSM 14210	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorubrum;s__	2710	768478	100	0	1467	NZ_AOJD01000002.1	1468	2710	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorubrum;Halorubrum tebenquichense	AB663421.1.1470	1467	0	100	NZ_AOJD01000044.1	115	10923	d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum tebenquichense	t	1	RS_GCF_000337415.1	t
RS_GCF_000025665.1	1	582192	1486778	39.1579644036	0	1486778	1486778	1486778	1	1	0	1486778	1	1486778	1486778	20	0	46	100	0	1558	1409046	94.7717816648	1	187	p__Euryarchaeota (UID3)	124	0	1	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__Aciduliprofundum;s__Aciduliprofundum boonei	RS_GCF_000025665.1	t	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;x__DHVE2 group;g__Aciduliprofundum;s__Aciduliprofundum boonei;st__Aciduliprofundum boonei T469	f	SAMN02598523	0	1	2010-2-24	US DOE Joint Genome Institute	0	none	ASM2566v1	none	1528	n/a	3	GCA_000025665.1	1486778	0	439481	44	full	0	11	none	none	Aciduliprofundum boonei T469	none	1486778	none	1	none	Complete Genome	representative genome	379547	none	none	PRJNA224116	2010/02/24	none	none	22.16889 S 176.60028 W	T469	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__[Aciduliprofundaceae];g__;s__	2636	4457346	99.86	0	1433	NC_013926.1	1477	2721	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Deep Sea Hydrothermal Vent Gp 2(DHVEG-2);Candidatus Aciduliprofundum;Aciduliprofundum boonei T469	CP001941.1422348.1423820	1473	0	100	NC_013926.1	116	1486778	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Acidiprofundales;f__Aciduliprofundaceae;g__Aciduliprofundum;s__Aciduliprofundum boonei	t	2	RS_GCF_000025665.1;RS_GCF_000151085.1	f
RS_GCF_001006085.1	58	633652	191123	53.0671483857	4085	1198142	48166	48179	7	62	0	191039	7	20657	19258	18	0	40	93.39	1.27	1277	1075454	89.7601452916	1	245	c__Thermoprotei (UID148)	158	33.33	0	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Desulfurococcus;s__Desulfurococcus mucosus	RS_GCF_001006085.1	t	d__Archaea;x__TACK group;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Desulfurococcus;s__Desulfurococcus mucosus;st__Desulfurococcus mucosus DSM 2161	t	SAMN03649618	3030	0	2015-5-11	DOE Joint Genome Institute	0	48179	ASM100608v1	26436	1268	n/a	4	GCA_001006085.1	1198142	0	675631	40	full	4	11	10130	62	Desulfurococcus mucosus DSM 2161	48179	1195112	7	1	58	Scaffold	na	2275	none	AUQX00000000.1	PRJNA224116	2015/05/11	acidic water from solfataric field	Iceland	none	DSM 2161	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Desulfurococcus;s__mucosus	2266	4359816	100	0	1227	NZ_AUQX01000056.1	1227	2266	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;Desulfurococcus mucosus DSM 2162	CP002363.57622.59117	1227	0	100	none	none	none	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Desulfurococcus;s__Desulfurococcus mucosus	f	1	RS_GCF_001006085.1	t
RS_GCF_000685155.1	10	1381785	721326	43.2162590977	6013	3203386	60319	545726	3	72	0	198058	18	320338	44407	19	0	45	99.67	1.31	3422	2826905	88.2474044652	1	228	p__Euryarchaeota (UID49)	153	0	1	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;g__Candidatus Methanoperedens;s__Candidatus Methanoperedens nitroreducens	RS_GCF_000685155.1	t	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;g__Candidatus Methanoperedens;s__Candidatus Methanoperedens nitroreducens	f	SAMN02713514	6012	0	2014-5-6	University of Queensland	0	none	ANME2D V10	none	3324	n/a	3	GCA_000685155.1	3203386	0	1392998	44	full	62	11	none	72	Candidatus Methanoperedens nitroreducens	60319	3197374	none	1	none	Scaffold	na	1392998	none	JMIY00000000.1	PRJNA224116	2014/05/06	freshwater lake sediment grown in bioreactor fed with nitrate; ammonium and methane	Australia	27.499063 S 153.016382 E	ANME-2d	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2D;g__;s__	2362	1111290	96.379	0	1436	NZ_JMIY01000002.1	1470	2392	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;GOM Arc I;Candidatus Methanoperedens;Candidatus Methanoperedens nitroreducens	JMIY01000002.512616.513910	1295	0	100	NZ_JMIY01000002.1	115	545726	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__Methanoperedens nitroreducens	t	17	U_2615;U_34695;U_2602;U_84382;U_97366;U_268;RS_GCF_000685155.1;U_33820;U_78806;U_97307;U_41068;U_2691;U_97477;U_84362;U_2652;U_79175;U_36202	f
RS_GCF_000979935.1	294	1665200	116492	41.6531695756	551	3998326	23833	25450	49	320	0	116492	52	13599	12493	20	0	64	100	0.65	3477	3023921	75.6296760194	1	228	p__Euryarchaeota (UID49)	153	0	1	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	RS_GCF_000970205.1	f	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	f	SAMN02708978	551	0	2015-4-23	University of Illinois at Urbana-Champaign	0	none	gtlEnvA5udCFS	none	3424	n/a	3	GCA_000979935.1	3998326	0	2209	63	full	26	11	none	320	Methanosarcina mazei	23833	3997775	none	1	none	Scaffold	na	2209	none	JJQK00000000.1	PRJNA224116	2015/04/23	sediment	USA: Columbia River Estuary; north of Astoria; OR	46.17467 N 123.8493 W	1.H.A.2.1	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__mazei	2710	439	99.864	0	1473	NZ_JJQK01000253.1	1474	2721	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei Go1	AE008384.2400692.2402165	1473	0	100	NZ_JJQK01000128.1	110	597	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	t	none	none	f
RS_GCF_000470655.1	2	1973989	2815791	62.7428039261	0	3146160	2815791	2815791	1	2	0	2815791	1	1573080	1573080	20	0	46	97.13	0.8	3161	2761088	87.7605716175	1	395	f__Halobacteriaceae (UID85)	250	0	1	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorhabdus;s__Halorhabdus tiamatea	RS_GCF_000470655.1	t	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorhabdus;s__Halorhabdus tiamatea;st__Halorhabdus tiamatea SARL4B	t	SAMEA2271992	0	2	2013-8-1	MPI BREMEN	0	none	HATI1	none	3073	n/a	3	GCA_000470655.1	3146160	0	1033806	46	full	0	11	none	none	Halorhabdus tiamatea SARL4B	none	3146160	none	1	none	Complete Genome	representative genome	430914	none	none	PRJNA224116	2013/08/01	none	none	none	SARL4B	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorhabdus;s__	2660	3030226	99.32	0	1470	NC_021921.1	1471	2715	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorhabdus;Halorhabdus tiamatea	AB663399.1.1472	1470	0	100	NC_021921.1	115	2815791	d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorhabdus;s__Halorhabdus tiamatea	t	1	RS_GCF_000470655.1	t
RS_GCF_000230715.2	1	2357703	3788356	62.2355185204	0	3788356	3788356	3788356	1	1	0	3788356	1	3788356	3788356	20	0	50	99.62	0	3762	3164991	83.5452370369	3	417	f__Halobacteriaceae (UID96)	263	0	3	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natronobacterium;s__Natronobacterium gregoryi	RS_GCF_000230715.2	t	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natronobacterium;s__Natronobacterium gregoryi;st__Natronobacterium gregoryi SP2	t	SAMN02232042	0	1	2012-12-10	DOE Joint Genome Institute	0	none	ASM23071v3	none	3710	n/a	9	GCA_000230715.3	3788356	0	797304	49	full	0	11	none	none	Natronobacterium gregoryi SP2	none	3788356	none	3	none	Complete Genome	representative genome	44930	none	none	PRJNA224116	2012/12/10	lake water	Kenya	1.9446 S 36.2522 E	SP2	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__;s__	2713	4440248	100	0	1469	NC_019792.1	1470	2713	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronobacterium;Natronobacterium gregoryi	AB663467.1.1472	1469	0	100	NC_019792.1	104	3788356	d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Natronobacterium;s__Natronobacterium gregoryi	t	2	RS_GCF_000230715.2;RS_GCF_000337655.1	t
RS_GCF_000190135.1	47	598000	186572	30.2784196893	0	1975004	98370	98370	7	47	0	186572	7	42021	42021	20	0	34	100	0	1859	1778210	90.0357670162	1	188	p__Euryarchaeota (UID3)	125	0	0	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii	RS_GCF_002252585.1	f	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii;st__Methanobrevibacter smithii TS96A	f	SAMN02436671	0	0	2011-2-17	Washington University in St.Louis	0	none	ASM19013v2	none	1829	n/a	6	GCA_000190135.2	1975004	0	911133	33	full	0	11	none	47	Methanobrevibacter smithii TS96A	98370	1975004	none	2	none	Contig	na	2173	none	AEMB00000000.1	PRJNA224116	2011/02/17	none	none	none	TS96A	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	2693	470690	99.661	0	1474	NZ_AEMB01000004.1	1473	2693	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter smithii DSM 2375	ABYW01000015.50.1525	1474	0	99.661	none	none	none	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii_A	f	none	none	f
RS_GCF_001316045.1	167	855137	186319	38.6130343041	0	2214633	51516	51516	10	167	0	186319	10	13261	13261	19	0	44	93.21	0.63	3252	1839782	83.073899829	1	217	c__Thermoprotei (UID147)	168	0	0	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus metallicus	RS_GCF_001316045.1	t	d__Archaea;x__TACK group;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus metallicus;st__Sulfolobus metallicus DSM 6482 = JCM 9184	t	SAMD00000478	0	0	2015-10-1	The University of Tokyo	0	none	ASM131604v1	none	2490	n/a	4	GCA_001316045.1	2214633	0	523847	46	full	0	11	none	167	Sulfolobus metallicus DSM 6482 = JCM 9184	51516	2214633	none	1	none	Contig	representative genome	47303	none	BBBY00000000.1	PRJNA224116	2015/10/01	none	none	none	JCM 9184	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__metallicus	2582	4464004	99.166	0	1438	NZ_BBBY01000020.1	1468	2636	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;uncultured Sulfolobus sp.	KF667978.1.1442	1443	0	99.653	none	none	none	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus_B;s__Sulfolobus_B metallicus	f	1	RS_GCF_001316045.1	t
RS_GCF_000024305.1	2	969240	2722032	35.2625683202	10	2748647	1357119	2722032	1	3	0	1364903	2	1374323	916212	19	0	45	99.4	0	3116	2409551	87.6631666416	1	217	c__Thermoprotei (UID147)	168	0	0	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus islandicus	RS_GCF_000022385.1	f	d__Archaea;x__TACK group;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus islandicus;st__Sulfolobus islandicus L.D.8.5	f	SAMN02598413	10	2	2010-1-22	US DOE Joint Genome Institute	0	none	ASM2430v1	none	2989	n/a	3	GCA_000024305.1	2748647	0	425944	45	full	1	11	none	3	Sulfolobus islandicus L.D.8.5	1357119	2748637	none	1	none	Chromosome	na	43080	none	none	PRJNA224116	2010/01/22	none	USA	40.49703 N 121.42752 W	L.D.8.5	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__islandicus	2741	649969	99.799	0	1494	NC_013769.1	1494	2756	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus islandicus L.D.8.5	CP001731.1159698.1161193	1492	0	100	none	none	none	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus_A;s__Sulfolobus_A islandicus	f	none	none	f
RS_GCF_000979195.1	171	1702372	125175	41.6121349865	652	4091699	41665	42899	31	204	0	120236	33	23928	20054	20	0	68	100	0.65	3537	3089507	75.5067027169	1	228	p__Euryarchaeota (UID49)	153	0	2	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	RS_GCF_000970205.1	f	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	f	SAMN02708936	644	0	2015-4-23	University of Illinois at Urbana-Champaign	0	none	gtlEnvA5udCFS	none	3480	n/a	4	GCA_000979195.1	4091699	0	2209	68	full	33	11	none	204	Methanosarcina mazei	41665	4091055	none	1	none	Scaffold	na	2209	none	JJQM00000000.1	PRJNA224116	2015/04/23	sediment	USA: Columbia River Estuary; north of Astoria; OR	46.17467 N 123.8493 W	1.H.A.2.3	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__mazei	2710	439	99.864	0	1473	NZ_JJQM01000044.1	1474	2721	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei Go1	AE008384.2400692.2402165	1473	0	100	NZ_JJQM01000044.1	116	21601	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	t	none	none	f
RS_GCF_000744315.1	1	1686838	4064496	41.5017753739	0	4064496	4064496	4064496	1	1	0	4064496	1	4064496	4064496	20	0	58	100	0.65	3461	3086594	75.9403871968	3	228	p__Euryarchaeota (UID49)	153	0	3	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina soligelidi	RS_GCF_000970205.1	f	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina soligelidi	t	SAMN02745719	0	0	2014-8-28	DOE Joint Genome Institute	0	none	ASM74431v1	none	3406	n/a	9	GCA_000744315.1	4064496	0	1036677	57	full	0	11	none	1	Methanosarcina soligelidi	4064496	4064496	none	3	none	Contig	na	1036677	none	JQLR00000000.1	PRJNA224116	2014/08/28	none	none	none	SMA-21	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__mazei	2693	439	99.661	0	1473	NZ_JQLR01000001.1	1474	2704	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei Go1	AE008384.2400692.2402165	1473	0	99.796	NZ_JQLR01000001.1	116	4064496	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	t	none	none	t
RS_GCF_000025285.1	2	656709	1560622	42.0045630645	0	1563423	1560622	1560622	1	2	0	1560622	1	781711	781711	20	0	47	99.84	0	1873	1455684	93.1087747846	1	228	p__Euryarchaeota (UID49)	153	0	1	d__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;s__Archaeoglobus profundus	RS_GCF_000025285.1	t	d__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;s__Archaeoglobus profundus;st__Archaeoglobus profundus DSM 5631	t	SAMN00017459	0	2	2010-1-19	US DOE Joint Genome Institute (JGI-PGF)	0	none	ASM2528v1	none	1805	n/a	3	GCA_000025285.1	1563423	0	572546	48	full	0	11	none	none	Archaeoglobus profundus DSM 5631	none	1563423	none	1	none	Complete Genome	representative genome	84156	none	none	PRJNA224116	2010/01/19	none	none	none	DSM 5631	k__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;s__	2785	4416519	100	0	1508	NC_013741.1	1509	2785	Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus profundus DSM 5631	CP001857.1049930.1051439	1508	0	100	NC_013741.1	112	1560622	d__Archaea;p__Halobacterota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus_B;s__Archaeoglobus_B profundus	t	2	RS_GCF_000025285.1;U_85611	t
RS_GCF_000253055.1	1	1015210	1841542	55.1282566458	0	1841542	1841542	1841542	1	1	0	1841542	1	1841542	1841542	15	0	34	100	0.74	2090	1663991	90.3585690687	1	174	k__Archaea (UID146)	136	100	0	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus tenax	RS_GCF_000253055.1	t	d__Archaea;x__TACK group;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus tenax;st__Thermoproteus tenax Kra 1	t	SAMEA2272453	0	1	2011-10-6	University of Duisburg-Essen, Faculty of Chemistry, Molecular Enzyme Technology and Biochemistry	0	none	ASM25305v1	none	1959	n/a	3	GCA_000253055.1	1841542	0	768679	44	full	0	11	none	none	Thermoproteus tenax Kra 1	none	1841542	none	1	none	Complete Genome	na	2271	none	none	PRJNA224116	2011/10/06	none	none	none	Kra 1	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__	2771	2430106	100	0	1500	NC_016070.1	1501	2767	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermoproteus;Thermoproteus tenax Kra 1	FN869859.1699104.1700606	1498	0	100	none	none	none	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus tenax	f	1	RS_GCF_000253055.1	t
RS_GCF_000337255.1	52	2264129	447051	62.648907193	126	3614122	132663	132673	9	52	0	447041	9	69502	69499	19	0	48	99.84	0	3873	3125635	86.4839371775	1	359	f__Halobacteriaceae (UID84)	235	0	1	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halalkalicoccus;s__Halalkalicoccus jeotgali	RS_GCF_000337255.1	t	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halalkalicoccus;s__Halalkalicoccus jeotgali;st__Halalkalicoccus jeotgali B3	t	SAMN02471620	0	0	2013-2-4	University of California, Davis	0	none	ASM33725v1	none	3699	n/a	3	GCA_000337255.1	3614122	0	795797	48	full	0	11	none	52	Halalkalicoccus jeotgali B3	132673	3614122	none	1	none	Contig	na	413810	none	AOHV00000000.1	PRJNA224116	2013/02/04	none	none	none	B3	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halalkalicoccus;s__jeotgali	2717	4416518	100	0	1471	NZ_AOHV01000046.1	1472	2719	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halalkalicoccus;Halalkalicoccus jeotgali	AB663348.1.1474	1472	0	100	NZ_AOHV01000046.1	104	46896	d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halalkalicoccus;s__Halalkalicoccus jeotgali	t	1	RS_GCF_000337255.1	t
